country_name,country_code,year,exports_usd,port_teu,lsc_index,has_exports,has_port_traffic,has_lsc,complete_case,exports_log,port_teu_log,exports_tier,port_tier,lsc_tier
Lao PDR,LAO,2016,4245000000.0,,,True,False,False,False,9.627877694579972,,Medium,,
Latvia,LVA,2016,12294000000.0,388260.0,31.5025,True,True,True,True,10.089693208784839,5.5891226502058515,Medium,Medium,Low
Lebanon,LBN,2016,3930000000.0,1147219.0,99.0425,True,True,True,True,9.594392550375426,6.059646331077234,Medium,Medium,High
Lesotho,LSO,2016,881000000.0,,,True,False,False,False,8.944975908412047,,Low,,
Liberia,LBR,2016,279000000.0,112500.0,20.0675,True,True,True,True,8.445604203273598,5.051152522447381,Low,Low,Low
Libya,LBY,2016,20880000000.0,151551.5,49.9175,True,True,True,True,10.319730494330225,5.180560239209078,Medium,Low,Medium
Liechtenstein,LIE,2016,,,,False,False,False,False,,,,,
Lithuania,LTU,2016,25010000000.0,443000.0,43.5075,True,True,True,True,10.398113691730503,5.6464037262230695,High,Medium,Medium
Luxembourg,LUX,2016,15796000000.0,,,True,False,False,False,10.198547125064506,,Medium,,
"Macao SAR, China",MAC,2016,1257000000.0,,,True,False,False,False,9.099335277685958,,Low,,
Madagascar,MDG,2016,2254000000.0,138850.0,36.135,True,True,True,True,9.352953911710088,5.142545884086276,Medium,Low,Medium
Malawi,MWI,2016,1022000000.0,,,True,False,False,False,9.009450895798693,,Low,,
Malaysia,MYS,2016,189743000000.0,24569452.0,478.1825,True,True,True,True,11.278165762868179,7.390395470031966,High,High,High
Maldives,MDV,2016,256000000.0,81744.0,18.325000000000003,True,True,True,True,8.40823996531185,4.912455885338188,Low,Low,Low
Mali,MLI,2016,2826000000.0,,,True,False,False,False,9.45117215751254,,Medium,,
Malta,MLT,2016,3186000000.0,3151939.0,147.7675,True,True,True,True,9.503245771465112,6.498577803925467,Medium,High,High
Marshall Islands,MHL,2016,36000000.0,51613.32,21.21,True,True,True,True,7.556302500767287,4.712761795735434,Low,Low,Low
Mauritania,MRT,2016,1623000000.0,72523.0,25.235,True,True,True,True,9.210318519826233,4.860475760901927,Low,Low,Low
Mauritius,MUS,2016,2359000000.0,388514.0,72.99,True,True,True,True,9.372727940885595,5.589406673106553,Medium,Medium,Medium
Mexico,MEX,2016,373948000000.0,5678854.0,169.60250000000002,True,True,True,True,11.572811214812331,6.7542607033710045,High,High,High
"Micronesia, Fed. Sts.",FSM,2016,49000000.0,9814.813,7.65,True,True,True,True,7.690196080028514,3.991882029474305,Low,Low,Low
Moldova,MDA,2016,2045000000.0,735.0142,3.65,True,True,True,True,9.31069331234336,2.8662957294543605,Medium,Low,Low
Monaco,MCO,2016,,,,False,False,False,False,,,,,
Mongolia,MNG,2016,4916000000.0,,,True,False,False,False,9.691611874214416,,Medium,,
Montenegro,MNE,2016,361000000.0,30211.0,13.755,True,True,True,True,8.557507201905658,4.480165100887121,Low,Low,Low
Morocco,MAR,2016,22661000000.0,4106683.0,206.8075,True,True,True,True,10.355279070792133,6.6134911804129075,High,High,High
Mozambique,MOZ,2016,3328000000.0,,43.5325,True,False,True,False,9.522183317618687,,Medium,,Medium
Myanmar,MMR,2016,11831000000.0,1026216.0,52.73,True,True,True,True,10.07302145435974,6.011238781570136,Medium,Medium,Medium
Namibia,NAM,2016,4084000000.0,203071.0,53.975,True,True,True,True,9.611085733414873,5.307647907455876,Medium,Medium,Medium
Nauru,NRU,2016,18000000.0,7032.956,5.2425,True,True,True,True,7.2552725051033065,3.8471379003627906,Low,Low,Low
Nepal,NPL,2016,696000000.0,,,True,False,False,False,8.842609239610562,,Low,,
Netherlands,NLD,2016,570606000000.0,12612142.0,389.43,True,True,True,True,11.756336334010843,7.100788851821289,High,High,High
New Caledonia,NCL,2016,1330000000.0,108500.0,45.977500000000006,True,True,True,True,9.123851640967086,5.035429738184549,Low,Low,Medium
New Zealand,NZL,2016,33756000000.0,3000696.0,89.975,True,True,True,True,10.528350978212826,6.477221999353539,High,High,High
Nicaragua,NIC,2016,4782000000.0,156900.0,24.72,True,True,True,True,9.679609571779755,5.195622943586937,Medium,Medium,Low
Niger,NER,2016,1032000000.0,,,True,False,False,False,9.013679697291192,,Low,,
Nigeria,NGA,2016,33302000000.0,1272000.0,98.1325,True,True,True,True,10.522470316475722,6.104487111312395,High,Medium,High
North Macedonia,MKD,2016,4790000000.0,,,True,False,False,False,9.680335513414564,,Medium,,
Northern Mariana Islands,MNP,2016,6000000.0,44989.51,20.205,True,True,True,True,6.778151250383644,4.653111263104331,Low,Low,Low
Norway,NOR,2016,88410000000.0,716916.0,58.7825,True,True,True,True,10.946501390569587,5.855468272998911,High,Medium,Medium
Oman,OMN,2016,30014000000.0,3943846.0,143.3175,True,True,True,True,10.477323878202748,6.595919948192096,High,High,High
Pakistan,PAK,2016,20375000000.0,3074000.0,124.49,True,True,True,True,10.309097617412014,6.487703863163726,Medium,High,High
Palau,PLW,2016,7000000.0,22490.03,9.65,True,True,True,True,6.845098040014257,4.3519900347520295,Low,Low,Low
Panama,PAN,2016,11195000000.0,6271682.0,196.855,True,True,True,True,10.04902409791505,6.797384029723186,Medium,High,High
Papua New Guinea,PNG,2016,8194000000.0,,45.825,True,False,True,False,9.913495959617123,,Medium,,Medium
Paraguay,PRY,2016,8494000000.0,38430.0,4.45,True,True,True,True,9.92911225665466,4.584670384464348,Medium,Low,Low
Peru,PER,2016,36516000000.0,2321062.0,110.31,True,True,True,True,10.562483198405792,6.365686741446115,High,High,High
Philippines,PHL,2016,56313000000.0,7560607.0,166.455,True,True,True,True,10.750608664416847,6.878556664041954,High,High,High
Poland,POL,2016,203817000000.0,2032761.0,102.585,True,True,True,True,11.309240404882784,6.308086319866362,High,High,High
Portugal,PRT,2016,55372000000.0,2912946.0,156.89249999999998,True,True,True,True,10.743290210224544,6.464332433779951,High,High,High
Puerto Rico (US),PRI,2016,,1210500.0,,False,True,False,False,,6.082964793777752,,Medium,
Qatar,QAT,2016,57309000000.0,527952.0,39.78,True,True,True,True,10.758222830403815,5.722594439422561,High,Medium,Medium
Romania,ROU,2016,63534000000.0,711339.0,67.2025,True,True,True,True,10.803006198688662,5.852076620058003,High,Medium,Medium
Russian Federation,RUS,2016,281710000000.0,3472382.0,212.465,True,True,True,True,11.449802263626655,6.540627496275859,High,High,High
Rwanda,RWA,2016,731000000.0,,,True,False,False,False,8.863917376957861,,Low,,
Samoa,WSM,2016,56000000.0,34588.0,27.4275,True,True,True,True,7.748188027006201,4.5389254503035845,Low,Low,Low
San Marino,SMR,2016,,,,False,False,False,False,,,,,
Sao Tome and Principe,STP,2016,14000000.0,67523.29,14.9375,True,True,True,True,7.146128035678238,4.829453594666707,Low,Low,Low
Saudi Arabia,SAU,2016,183579000000.0,7683202.0,194.4375,True,True,True,True,11.263822999818716,6.885542251427336,High,High,High
Senegal,SEN,2016,2640000000.0,540000.0,56.97,True,True,True,True,9.421603926869832,5.732393759822968,Medium,Medium,Medium
Serbia,SRB,2016,14874000000.0,,,True,False,False,False,10.172427777151466,,Medium,,
Seychelles,SYC,2016,460000000.0,132214.6,24.885,True,True,True,True,8.662757831681574,5.121279415432013,Low,Low,Low
Sierra Leone,SLE,2016,624000000.0,89063.0,23.95,True,True,True,True,8.795184589682425,4.94969731982622,Low,Low,Low
Singapore,SGP,2016,330481000000.0,30903600.0,549.105,True,True,True,True,11.51914649609896,7.490009073893009,High,High,High
Sint Maarten (Dutch part),SXM,2016,132000000.0,97991.0,43.025,True,True,True,True,8.12057393120585,4.9911861896738525,Low,Low,Medium
Slovak Republic,SVK,2016,77060000000.0,,,True,False,False,False,10.886829004676983,,High,,
Slovenia,SVN,2016,32917000000.0,844000.0,73.5625,True,True,True,True,10.517420247475371,5.926342446625655,High,Medium,Medium
Solomon Islands,SLB,2016,437000000.0,181636.1,32.8975,True,True,True,True,8.640481436970422,5.259202168373925,Low,Medium,Medium
"Somalia, Fed. Rep.",SOM,2016,615000000.0,104800.4,25.3875,True,True,True,True,8.788875115775417,5.020362940257071,Low,Low,Low
South Africa,ZAF,2016,76214000000.0,4354666.0,127.7125,True,True,True,True,10.882034755647652,6.63895485052173,High,High,High
South Sudan,SSD,2016,,,,False,False,False,False,,,,,
Spain,ESP,2016,289981000000.0,15073218.0,393.22,True,True,True,True,11.462369543190409,7.178205980280708,High,High,High
Sri Lanka,LKA,2016,10310000000.0,5734000.0,212.8475,True,True,True,True,10.013258665283516,6.7584576886104655,Medium,High,High
St. Kitts and Nevis,KNA,2016,51000000.0,13216.0,22.7375,True,True,True,True,7.707570176097937,4.121100029976307,Low,Low,Low
St. Lucia,LCA,2016,120000000.0,38383.0,26.7225,True,True,True,True,8.079181246047625,4.5841389160098736,Low,Low,Low
St. Martin (French part),MAF,2016,132000000.0,,,True,False,False,False,8.12057393120585,,Low,,
St. Vincent and the Grenadines,VCT,2016,47000000.0,18236.0,32.7825,True,True,True,True,7.672097857935717,4.260929583529925,Low,Low,Medium
Sudan,SDN,2016,3094000000.0,465355.0,37.8275,True,True,True,True,9.49052030936335,5.667784384544663,Medium,Medium,Medium
Suriname,SUR,2016,1439000000.0,98652.0,40.23,True,True,True,True,9.158060793936604,4.994105894252773,Low,Low,Medium
Sweden,SWE,2016,139290000000.0,1509886.0,119.6625,True,True,True,True,11.143919938385837,6.1789441582601,High,High,High
Switzerland,CHE,2016,302900000000.0,114498.0,,True,True,False,False,11.481299273332855,5.0587979006798385,High,Low,
Syrian Arab Republic,SYR,2016,2377000000.0,253415.0,32.155,True,True,True,True,9.37602918172818,5.403832317826136,Medium,Medium,Medium
Tajikistan,TJK,2016,899000000.0,,,True,False,False,False,8.953759691733229,,Low,,
Tanzania,TZA,2016,4500000000.0,630290.0,53.255,True,True,True,True,9.653212513775344,5.799540416788838,Medium,Medium,Medium
Thailand,THA,2016,215388000000.0,9340560.0,215.64,True,True,True,True,11.333221503609334,6.970372914519089,High,High,High
Timor-Leste,TLS,2016,20000000.0,49177.0,11.595,True,True,True,True,7.301029995663981,4.6917620314546395,Low,Low,Low
Togo,TGO,2016,1036000000.0,821639.0,78.145,True,True,True,True,9.015359755409214,5.914681045344346,Low,Medium,Medium
Tonga,TON,2016,21000000.0,84702.43,27.0425,True,True,True,True,7.3222192947339195,4.927895869840185,Low,Low,Low
Trinidad and Tobago,TTO,2016,7633000000.0,427427.0,70.285,True,True,True,True,9.882695262381597,5.630861952504342,Medium,Medium,Medium
Tunisia,TUN,2016,13572000000.0,489670.0,43.83,True,True,True,True,10.13264385097308,5.689903497455916,Medium,Medium,Medium
Turkiye,TUR,2016,149247000000.0,8760769.0,220.36,True,True,True,True,11.173905610176346,6.942542229204438,High,High,High
Turkmenistan,TKM,2016,6964000000.0,,,True,False,False,False,9.842858762445294,,Medium,,
Turks and Caicos Islands,TCA,2016,4000000.0,,,True,False,False,False,6.6020599913279625,,Low,,
Tuvalu,TUV,2016,0.0,15844.34,8.79,True,True,True,True,,4.199874153256336,Low,Low,Low
Uganda,UGA,2016,2482000000.0,,,True,False,False,False,9.39480177716271,,Medium,,
Ukraine,UKR,2016,36360000000.0,680623.0,63.6575,True,True,True,True,10.560623874549929,5.832906620934208,High,Medium,Medium
United Arab Emirates,ARE,2016,295031000000.0,20652200.0,302.525,True,True,True,True,11.469867651305634,7.314966322189431,High,High,High
United Kingdom,GBR,2016,410856000000.0,10200229.0,403.76,True,True,True,True,11.613689633643498,7.008609921989365,High,High,High
United States,USA,2016,1451011000000.0,48149002.0,475.3625,True,True,True,True,12.161670704802445,7.682587289791087,High,High,High
Uruguay,URY,2016,7043000000.0,888119.0,84.4225,True,True,True,True,9.847757688392331,5.948471161252467,Medium,Medium,Medium
Uzbekistan,UZB,2016,8974000000.0,,,True,False,False,False,9.952986065197056,,Medium,,
Vanuatu,VUT,2016,50000000.0,115886.9,24.815,True,True,True,True,7.698970004336019,5.064034345547192,Low,Low,Low
Viet Nam,VNM,2016,176581000000.0,11282230.0,280.805,True,True,True,True,11.24694397195348,7.052394949024605,High,High,High
Virgin Islands (U.S.),VIR,2016,,,,False,False,False,False,,,,,
West Bank and Gaza,PSE,2016,,,,False,False,False,False,,,,,
"Yemen, Rep.",YEM,2016,411000000.0,268208.0,31.165,True,True,True,True,8.613841821876068,5.428471727669342,Low,Medium,Low
Zambia,ZMB,2016,6372000000.0,,,True,False,False,False,9.804275767129093,,Medium,,
