country_name,country_code,year,exports_usd
Middle income,MIC,2016,4791258951159.5
North America,NAC,2016,1841021000000.0
Not classified,INX,2016,
OECD members,OED,2016,9560614000000.0
Other small states,OSS,2016,39749863351.8006
Pacific island small states,PSS,2016,1611223223.52941
Post-demographic dividend,PST,2016,9392311000000.0
Pre-demographic dividend,PRE,2016,187501562320.329
Small states,SST,2016,53342223012.3652
South Asia,SAS,2016,311223000000.0
South Asia (IDA & IBRD),TSA,2016,311223000000.0
Sub-Saharan Africa,SSF,2016,266389160154.686
Sub-Saharan Africa (excluding high income),SSA,2016,263138475307.16
Sub-Saharan Africa (IDA & IBRD countries),TSS,2016,266389160154.686
Upper middle income,UMC,2016,3953927449139.03
World,WLD,2016,16128591379115.0
,,2016,
,,2016,
,,2016,
,,2016,
,,2016,
Afghanistan,AFG,2017,723000000.0
Albania,ALB,2017,2292000000.0
Algeria,DZA,2017,35191000000.0
American Samoa,ASM,2017,397000000.0
Andorra,AND,2017,118000000.0
Angola,AGO,2017,34613000000.0
Antigua and Barbuda,ATG,2017,21000000.0
Argentina,ARG,2017,58644000000.0
Armenia,ARM,2017,2245000000.0
Aruba,ABW,2017,135000000.0
Australia,AUS,2017,231131000000.0
Austria,AUT,2017,168026000000.0
Azerbaijan,AZE,2017,15481000000.0
"Bahamas, The",BHS,2017,473000000.0
Bahrain,BHR,2017,15376000000.0
Bangladesh,BGD,2017,35851000000.0
Barbados,BRB,2017,485000000.0
Belarus,BLR,2017,29267000000.0
Belgium,BEL,2017,429645000000.0
Belize,BLZ,2017,457000000.0
Benin,BEN,2017,2216000000.0
Bermuda,BMU,2017,18000000.0
Bhutan,BTN,2017,573000000.0
Bolivia,BOL,2017,7846000000.0
Bosnia and Herzegovina,BIH,2017,6402000000.0
Botswana,BWA,2017,5870000000.0
Brazil,BRA,2017,214988000000.0
British Virgin Islands,VGB,2017,
Brunei Darussalam,BRN,2017,5571000000.0
Bulgaria,BGR,2017,31438000000.0
Burkina Faso,BFA,2017,2875000000.0
Burundi,BDI,2017,172000000.0
Cabo Verde,CPV,2017,52000000.0
Cambodia,KHM,2017,11278000000.0
Cameroon,CMR,2017,3233000000.0
Canada,CAN,2017,420665000000.0
Cayman Islands,CYM,2017,39000000.0
Central African Republic,CAF,2017,140000000.0
Chad,TCD,2017,2621000000.0
Channel Islands,CHI,2017,
Chile,CHL,2017,68823000000.0
China,CHN,2017,2263346000000.0
Colombia,COL,2017,36897000000.0
Comoros,COM,2017,39000000.0
"Congo, Dem. Rep.",COD,2017,12296000000.0
"Congo, Rep.",COG,2017,8252000000.0
Costa Rica,CRI,2017,10769000000.0
Cote d'Ivoire,CIV,2017,11853000000.0
Croatia,HRV,2017,16069000000.0
Cuba,CUB,2017,2402000000.0
Curacao,CUW,2017,425000000.0
Cyprus,CYP,2017,3288000000.0
Czechia,CZE,2017,182142000000.0
Denmark,DNK,2017,102506000000.0
Djibouti,DJI,2017,3162000000.0
Dominica,DMA,2017,12000000.0
