country_name,country_code,year,exports_usd,port_teu,lsc_index,has_exports,has_port_traffic,has_lsc
Kosovo,XKX,2016,,,,False,False,False
Kuwait,KWT,2016,46273000000.0,944432.0,33.557500000000005,True,True,True
Kyrgyz Republic,KGZ,2016,1573000000.0,,,True,False,False
Lao PDR,LAO,2016,4245000000.0,,,True,False,False
Latvia,LVA,2016,12294000000.0,388260.0,31.5025,True,True,True
Lebanon,LBN,2016,3930000000.0,1147219.0,99.0425,True,True,True
Lesotho,LSO,2016,881000000.0,,,True,False,False
Liberia,LBR,2016,279000000.0,112500.0,20.0675,True,True,True
Libya,LBY,2016,20880000000.0,151551.5,49.9175,True,True,True
Liechtenstein,LIE,2016,,,,False,False,False
Lithuania,LTU,2016,25010000000.0,443000.0,43.5075,True,True,True
Luxembourg,LUX,2016,15796000000.0,,,True,False,False
"Macao SAR, China",MAC,2016,1257000000.0,,,True,False,False
Madagascar,MDG,2016,2254000000.0,138850.0,36.135,True,True,True
Malawi,MWI,2016,1022000000.0,,,True,False,False
Malaysia,MYS,2016,189743000000.0,24569452.0,478.1825,True,True,True
Maldives,MDV,2016,256000000.0,81744.0,18.325000000000003,True,True,True
Mali,MLI,2016,2826000000.0,,,True,False,False
Malta,MLT,2016,3186000000.0,3151939.0,147.7675,True,True,True
Marshall Islands,MHL,2016,36000000.0,51613.32,21.21,True,True,True
Mauritania,MRT,2016,1623000000.0,72523.0,25.235,True,True,True
Mauritius,MUS,2016,2359000000.0,388514.0,72.99,True,True,True
Mexico,MEX,2016,373948000000.0,5678854.0,169.60250000000002,True,True,True
"Micronesia, Fed. Sts.",FSM,2016,49000000.0,9814.813,7.65,True,True,True
Moldova,MDA,2016,2045000000.0,735.0142,3.65,True,True,True
Monaco,MCO,2016,,,,False,False,False
Mongolia,MNG,2016,4916000000.0,,,True,False,False
Montenegro,MNE,2016,361000000.0,30211.0,13.755,True,True,True
Morocco,MAR,2016,22661000000.0,4106683.0,206.8075,True,True,True
Mozambique,MOZ,2016,3328000000.0,,43.5325,True,False,True
Myanmar,MMR,2016,11831000000.0,1026216.0,52.73,True,True,True
Namibia,NAM,2016,4084000000.0,203071.0,53.975,True,True,True
Nauru,NRU,2016,18000000.0,7032.956,5.2425,True,True,True
Nepal,NPL,2016,696000000.0,,,True,False,False
Netherlands,NLD,2016,570606000000.0,12612142.0,389.43,True,True,True
New Caledonia,NCL,2016,1330000000.0,108500.0,45.977500000000006,True,True,True
New Zealand,NZL,2016,33756000000.0,3000696.0,89.975,True,True,True
Nicaragua,NIC,2016,4782000000.0,156900.0,24.72,True,True,True
Niger,NER,2016,1032000000.0,,,True,False,False
Nigeria,NGA,2016,33302000000.0,1272000.0,98.1325,True,True,True
North Macedonia,MKD,2016,4790000000.0,,,True,False,False
Northern Mariana Islands,MNP,2016,6000000.0,44989.51,20.205,True,True,True
Norway,NOR,2016,88410000000.0,716916.0,58.7825,True,True,True
Oman,OMN,2016,30014000000.0,3943846.0,143.3175,True,True,True
Pakistan,PAK,2016,20375000000.0,3074000.0,124.49,True,True,True
Palau,PLW,2016,7000000.0,22490.03,9.65,True,True,True
Panama,PAN,2016,11195000000.0,6271682.0,196.855,True,True,True
Papua New Guinea,PNG,2016,8194000000.0,,45.825,True,False,True
